id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;QuantityF;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);url strt;url end;image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
4011;1;Replace Gasket;430;6.94;1;;0;;;;;0001102;;Freidig;Acerbis;;;;;;;;3;3;1;both;;;;;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTZ7S YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTZ7S YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4012;1;Raccord Pour Réservoir;430;32.41;1;;0;;;;;0001105;;Freidig;Acerbis;;;;;;;;2;2;1;both;;;;Additionnel;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTZ7S SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTZ7S SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4013;1;Tank Replacement Gas Cap Small;430;15.28;1;;0;;;;;0001111.090;;Freidig;Acerbis;;;;;;;;4;4;1;both;;;;;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTZ7S GEL_0 png;http://prestashop.vs1.details.cognix-systems.net/img/import/YTZ7S GEL_0 png;0;;1;new;0;0;0;0;0;0;0;0
4014;1;Bouchon Réservoir À Clé Petit;430;29.63;1;;0;;;;;0001119.;;Freidig;Acerbis;;;;;;;;3;3;1;both;;;;;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTZ5S YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTZ5S YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4015;1;Bouchon Réservoir À Clef;430;29.63;1;;0;;;;;0001121.;;Freidig;Acerbis;;;;;;;;2;2;1;both;;;;Ø 62 Mm;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTZ5S GEL_0 png;http://prestashop.vs1.details.cognix-systems.net/img/import/YTZ5S GEL_0 png;0;;1;new;0;0;0;0;0;0;0;0
4016;1;Bouchon Réserboir Kpl;430;15.74;1;;0;;;;;0001201.090;;Freidig;Acerbis;;;;;;;;2;2;1;both;;;;;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX24HL BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX24HL BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4017;1;Joint Piur Bouchon;430;6.94;1;;0;;;;;0001202.090;;Freidig;Acerbis;;;;;;;;2;2;1;both;;;;Petit;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX24HL BS SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX24HL BS SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4018;1;Benzinhahn Komplet;430;24.07;1;;0;;;;;0001203.;;Freidig;Acerbis;;;;;;;;2;2;1;both;;;;;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX20L BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX20L BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4019;1;Rally Pro Spoiler;431;18.43;1;;0;;;;;0001501.090;;Freidig;Acerbis;;;;;;;;2;2;1;both;;;;Noir (Paire);0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX20L BS SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX20L BS SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4020;1;Station De Gaz 16L;430;324.07;1;;0;;;;;0001555;;Freidig;Acerbis;;;;;;;;1;1;1;both;;;;Transparent;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX20L BS GEL_0 png;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX20L BS GEL_0 png;0;;1;new;0;0;0;0;0;0;0;0
4021;1;Reservoir Xr 600 Gauche;430;375;1;;0;;;;;0001569.030;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX20HL BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX20HL BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4022;1;Acerbis Tank Honda;430;313.89;1;;0;;;;;0001584.030;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Nx/Dominator 88-91 White 23L;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX20HL BS GEL_0 png;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX20HL BS GEL_0 png;0;;1;new;0;0;0;0;0;0;0;0
4023;0;Fuel Tanks 13 Lt. Yamaha;430;332.41;1;;0;;;;;0001587.120;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Natural;<ul><li>WR 125 02-05</li><li>WR 250 02-05</li><li>YZ 125 02/04</li><li>YZ 250 02-04</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX20H BS SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX20H BS SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4024;1;Tank 23Lt. Yamaha;430;332.41;1;;0;;;;;0001593.030;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Blanc;<ul><li>TT 600 KICK STARTER 93-97</li><li>TT 600 ELECTRIC STARTER 98-03</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX20CH BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX20CH BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4025;0;Tank 14 Lt. Kawasaki ;430;332.41;1;;0;;;;;0001594.130;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Vert;<ul><li>KLX 250 C 93-96</li><li>KLX 250 R 93-96</li><li>KLX 300 99-02</li><li>KLX 300 04</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX20CH BS SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX20CH BS SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4026;1;Tank 23Lt. Yamaha;430;332.41;1;;0;;;;;0001599.030;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Blanc;<ul><li>XT600 95-03</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX20 BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX20 BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4027;1;Tank 23Lt. Yamaha;430;332.41;1;;0;;;;;0001599.090;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Noir;<ul><li>XT600 95-03</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX16 BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX16 BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4028;0;Reservoir Xr 400;430;365.74;1;;0;;;;;0001601.030;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX16 BS SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX16 BS SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4029;0;Benzintank Xr 400 R 96/04;430;365.74;1;;0;;;;;0001601.110;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Rouge;<ul><li>22 LIT.</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX16 BS GEL_0 png;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX16 BS GEL_0 png;0;;1;new;0;0;0;0;0;0;0;0
4030;1;Tank 13Lt. Yamaha;430;332.41;1;;0;;;;;0001612.120;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Natural;<ul><li>WR 250 F 01-02</li><li>WR 400 F 98-99</li><li>WR 426 F 00-02</li><li>YZ 400 F 98-99</li><li>YZ 426 F 00-02</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX16 BS 1 YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX16 BS 1 YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4031;0;Tank 20Lt. Yamaha;430;425;1;;0;;;;;0001614.030;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Blanc;<ul><li>TT 600 R 98-04</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX16 BS 1 GEL_0 png;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX16 BS 1 GEL_0 png;0;;1;new;0;0;0;0;0;0;0;0
4032;0;Reservoir Honda Sahara;430;415.74;1;;0;;;;;0001615.110;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Rouge 24 Litre;<ul><li>XR 650R 04-07</li><li>XR 650 00-03</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX15L BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX15L BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4033;1;Front Number Plate Kawasaki/Suzuki;430;29.63;1;;0;;;;;0002121.030;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Blanc;<ul><li>KX(F)125-450 03-08  </li><li>RMZ250 04-06 </li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX15L BS SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX15L BS SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4034;1;Front Number Plate Kawasaki/Suzuki;430;29.63;1;;0;;;;;0002121.090;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Noir;<ul><li>KX(F)125-450 03-08  </li><li>RMZ250 04-06 </li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX14L BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX14L BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4035;1;Front Number Plate Suzuki;430;29.63;1;;0;;;;;0002134.060;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Jaune;<ul><li>RM 125/250 99-00 </li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX14L BS SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX14L BS SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4036;1;Front Number Plate Yamaha;430;29.63;1;;0;;;;;0002141.030;;Freidig;Acerbis;;;;;;;;1;1;1;both;;;;Blanc;<ul><li>YZ 125/250 00-05</li><li>YZF 250 01-05</li><li>YZF 426 4T 00-02</li><li>YZF 450 03-05</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX14L BS GEL_0 png;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX14L BS GEL_0 png;0;;1;new;0;0;0;0;0;0;0;0
4037;1;Front Number Plate Yamaha;430;29.63;1;;0;;;;;0002141.090;;Freidig;Acerbis;;;;;;;;1;1;1;both;;;;Noir;<ul><li>YZ 125/250 00-05</li><li>YZF 250 01-05</li><li>YZF 426 4T 00-02</li><li>YZF 450 03-05</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX14AHL BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX14AHL BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4038;1;Front Number Plate Honda;430;29.63;1;;0;;;;;0002142.090;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Noir;<ul><li>CR 125/250R 00/03</li><li>CRF 450R 02/03</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX14AHL BS SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX14AHL BS SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4039;1;Front Number Plate Suzuki;430;29.63;1;;0;;;;;0002148.030;;Freidig;Acerbis;;;;;;;;1;1;1;both;;;;Blanc;<ul><li>RM 125/250 01-</li><li>RM-Z 250 07-09</li><li>RM-Z 450 05-07</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX14AH BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX14AH BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4040;1;Front Number Plate Suzuki;430;29.63;1;;0;;;;;0002148.090;;Freidig;Acerbis;;;;;;;;1;1;1;both;;;;Noir;<ul><li>RM 125/250 01-</li><li>RM-Z 250 07-09</li><li>RM-Z 450 05-07</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX14AH BS SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX14AH BS SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4041;1;Front Number Plate Yamaha;430;29.63;1;;0;;;;;0002151.030;;Freidig;Acerbis;;;;;;;;1;1;1;both;;;;Blanc;<ul><li>YZ80 95-01</li><li>YZ85 02-05</li><li>YZ85LW 04-10</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX14 BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX14 BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4042;1;Front Number Plate Yamaha;430;29.63;1;;0;;;;;0002151.090;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Noir;<ul><li>YZ80 95-01</li><li>YZ85 02-05</li><li>YZ85LW 04-10</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX14 BS SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX14 BS SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4043;0;;430;29.63;1;;0;;;;;0002158;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX14 BS GEL_0 png;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX14 BS GEL_0 png;0;;1;new;0;0;0;0;0;0;0;0
4044;1;Front Number Plate Ktm;430;29.63;1;;0;;;;;0002158.090;;Freidig;Acerbis;;;;;;;;1;1;1;both;;;;Noir;<ul><li>SX 125 03/06</li><li>SX 200 03/04</li><li>SX 250 03/06</li><li>SX-F 250 06</li><li>SX-F 450 04/06</li><li>SX-F 525 03/06</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX12 BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX12 BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4045;1;Rechange Porte-Numero Ciclope Et Diamond;432;15.74;1;;0;;;;;0002160.030;;Freidig;Acerbis;;;;;;;;2;2;1;both;;;;Blanc;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX12 BS SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX12 BS SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4046;1;Rechange Porte-Numero Ciclope Et Diamond;432;15.74;1;;0;;;;;0002160.090;;Freidig;Acerbis;;;;;;;;2;2;1;both;;;;Noir;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX12 BS GEL_0 png;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX12 BS GEL_0 png;0;;1;new;0;0;0;0;0;0;0;0
4047;1;Rechange Porte-Numero Ciclope Et Diamond;432;15.74;1;;0;;;;;0002160.130;;Freidig;Acerbis;;;;;;;;3;3;1;both;;;;Vert;0;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX9 BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX9 BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4048;1;Acerbis Front Tank 3 L;430;98.15;1;;0;;;;;0002684.030;;Freidig;Acerbis;;;;;;;;0;0;1;both;;;;Blanc;<ul><li>HEIGHT 270 MM</li><li>WIDTH 240 MM</li><li>DEPTH 80 MM</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX9 BS SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX9 BS SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
4049;1;Plaque Phare Dhh Homologué;432;78.7;1;;0;;;;;0002694.030;;Freidig;Acerbis;;;;;;;;1;1;1;both;;;;Blanc;<ul><li>Phare</li><li>support y compris</li><li>homologation CH</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX9 BS GEL_0 png;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX9 BS GEL_0 png;0;;1;new;0;0;0;0;0;0;0;0
4050;1;Plaque Phare Dhh Homologué;432;78.7;1;;0;;;;;0002694.090;;Freidig;Acerbis;;;;;;;;3;3;1;both;;;;Noir;<ul><li>Phare</li><li>support y compris</li><li>homologation CH</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-03-15;2016-03-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTX7L BS YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTX7L BS YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
