ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
10311;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Suzuki GSF1250 F/S / GSR 600;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10312;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Yamaha XT1200Z Super Tenere. (10-).;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10313;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Yamaha XT 660 Z / X / R;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10314;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Yamaha XT 1200 Z Super Tenere;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10315;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Yamaha XT 660 Z Tenere;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10316;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. BMW F 650 GS / G 650 GS;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10317;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. BMW F 700 GS / F 800 GS;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10318;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris métal. BMW R1200GS LC (13-) / Adventure (13-);<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10319;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. BMW Modèles.;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10320;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. BMW F 650 GS, G650 GS.;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10321;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. BMW F 800 GS;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10322;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. BMW R 1200 GS;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10323;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Kawasaki Modèles.;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10324;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Kawasaki Versys 1000 (11-).;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10325;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Kawasaki KLR 650 (01-13).;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10326;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Kawasaki KLE 500 (91-05);<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10327;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Kawasaki Versys;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10328;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Kawasaki Versys 1000 (11-).;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10329;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Kawasaki KLR 650;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10330;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Kawasaki KLE500;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10331;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Tiger 1050 (06-) R1200R (11-) R nineT (14-).;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10332;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Triumph Tiger 800XC (10-).Tiger1200 (11-);<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10333;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Tiger 1050 (06-) R1200R (11-) R nineT (14-).;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10334;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Triumph Tiger 800XC (11-).Tiger1200 (12-.);<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10335;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Husqvarna Nuda 900 / Aprilia SMV 750 Dors.;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10336;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Husqvarna Nuda 900 / Aprilia SMV 750 Dors.;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10337;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. KTM/Honda/Kawasaki/Morini/Guzzi/Suzuki;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10338;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Moto Guzzi STELVIO 1200 4V / Moto Morini;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10339;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Ducati Multistrada 1200 / S (10-);<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10340;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Ducati Multistrada 1200. (10-).;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10341;;Extension de levier de vitesse;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Universel.;<b>Extension de sélecteur de vitesse</b><br><br>Extension pour le sélecteur SW-MOTECH pour un gain de 15mm.<br>Améliore lergonomie.<br>Usinage CNC.<br> Protection contre la corrosion avec un traitement de surface.<br><br><b>Inclus:</b><!--BL--><ul><li>Extension</li><li>Visserie de fixation</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10342;;Levier de vitesse;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. Honda CB 1000 R (08-);<b>Sélecteur de vitesse SW-MOTECH</b><br>- MADE IN GERMANY -<ul><li> Design parfait grâce à lutilisation de matière noble</li><li>Usinage CNC de laluminium</li><li>Forte résistance aux rayures, grâce à un traitement spécifique</li><li>En deux pièces réglables <b>Possibilités de réglages infinies</b></i></font></li><li>Améliore lergonomie de votre moto</li><li>Le bout du sélecteur est sur rotule pour pivoter en cas de chute</li></ul><b>Option disponible:</b><ul><li>Extension du sélecteur</li></ul><b>Inclus:</b><!--BL--><ul><li>Sélecteur</li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10343;;Levier de vitesse;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. Honda NC700 S / X (11-) NC750 X (14-).;<b>Sélecteur de vitesse SW-MOTECH</b><br>- MADE IN GERMANY -<ul><li> Design parfait grâce à lutilisation de matière noble</li><li>Usinage CNC de laluminium</li><li>Forte résistance aux rayures, grâce à un traitement spécifique</li><li>En deux pièces réglables <b>Possibilités de réglages infinies</b></font></li><li>Améliore lergonomie de votre moto</li><li>Le bout du sélecteur est sur rotule pour pivoter en cas de chute</li></ul><b>Option disponible:</b><ul><li>Extension du sélecteur</li></ul><b>Inclus:</b><!--BL--><ul><li>Sélecteur</li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
