id;Name *;SKU;Name *;SKU;Short description;Description;Text when in stock;Text when backorder allowed
9010;TraX® EVO ALU-BOX Topcase;ALK.00.165.15000/B;TraX® EVO ALU-BOX Topcase;ALK.00.165.15000/B;38 l. Schwarz. 41x34x33 cm.;<strong>TraX® EVO ALU-TOPCASE</strong> von SW-MOTECH ist die ultimative, beständige und zuverlässige Gepäcklösung. - <br>MADE IN GERMANY.<br><br>Verfügbar in Aluminium oder schwarz pulverbeschichtet.<br>Verwendbar mit allen SW-MOTECH ALU-RACKS und TraX® Universal-Adapterplatte.<br>Befestigen Sie das TraX® EVO ALU-TOPCASE an Ihr SW-MOTECH Alu-Rack<br>mit Hilfe unserer QUICK-LOCK Adapterplatte für das TraX® Topcase (separat erhältlich). <br>TraX® EVO Topcase wird nicht mit Schließzylindern ausgeliefert.<br>Optional bieten wir Schließzylinder-Sets für wahlweise 1 Topcase, 2 Seitenkoffer oder 3 Koffer.<br><strong>Besonderheiten:</strong><ul><li>Sichere und stabile Konstruktion</li><li>1,5 mm dickes Aluminiumblech</li><li>Gefertigt im äußerst festen und dichten Stanznietverfahren</li><li>Tiefgezogener Deckel mit Kunststoffrahmen und Gummidichtung</li><li>Scharniere aus Edelstahl</li><li>Ecken aus glasfaserverstärktem Kunststoff</li><li>Schwarze Koffer sind innen schwarz pulverbeschichtet - kein Aluminiumabrieb am Gepäck!</li><li>Deckel dichtet durch Kompression des Scharniers ab</li><li>Volumen: 38 l </li><li>Maße: 41 x 34 x 33 cm </li><li>Gewicht: 4,5 kg </li></ul><br><strong>Lieferumfang:</strong><ul><li>TraX® EVO ALU-TOPCASE in praktischer Aufbewahrungstasche</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9011;TraX® EVO ALU-BOX Topcase;ALK.00.165.15000/S;TraX® EVO ALU-BOX Topcase;ALK.00.165.15000/S;38 l. Silber. 41x34x33 cm.;<strong>TraX® EVO ALU-TOPCASE</strong> von SW-MOTECH ist die ultimative, beständige und zuverlässige Gepäcklösung. - <br>MADE IN GERMANY.<br><br>Verfügbar in Aluminium oder schwarz pulverbeschichtet.<br>Verwendbar mit allen SW-MOTECH ALU-RACKS und TraX® Universal-Adapterplatte.<br>Befestigen Sie das TraX® EVO ALU-TOPCASE an Ihr SW-MOTECH Alu-Rack<br>mit Hilfe unserer QUICK-LOCK Adapterplatte für das TraX® Topcase (separat erhältlich). <br>TraX® EVO Topcase wird nicht mit Schließzylindern ausgeliefert.<br>Optional bieten wir Schließzylinder-Sets für wahlweise 1 Topcase, 2 Seitenkoffer oder 3 Koffer.<br><strong>Besonderheiten:</strong><ul><li>Sichere und stabile Konstruktion</li><li>1,5 mm dickes Aluminiumblech</li><li>Gefertigt im äußerst festen und dichten Stanznietverfahren</li><li>Tiefgezogener Deckel mit Kunststoffrahmen und Gummidichtung</li><li>Scharniere aus Edelstahl</li><li>Ecken aus glasfaserverstärktem Kunststoff</li><li>Schwarze Koffer sind innen schwarz pulverbeschichtet - kein Aluminiumabrieb am Gepäck!</li><li>Deckel dichtet durch Kompression des Scharniers ab</li><li>Volumen: 38 l </li><li>Maße: 41 x 34 x 33 cm </li><li>Gewicht: 4,5 kg </li></ul><br><strong>Lieferumfang:</strong><ul><li>TraX® EVO ALU-TOPCASE in praktischer Aufbewahrungstasche</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9012;TraX® EVO / TRAX ADV Schließzylinder-Satz;ALK.00.165.16302;TraX® EVO / TRAX ADV Schließzylinder-Satz;ALK.00.165.16302;6 Schlösser/2 Schlüssel/Klemmblech. Gleichschließ.;<strong>TraX®</strong> - die Marke von SW-MOTECH -Schließzylinder-Satz für TraX® Alu Motorradkoffer <ul><li>6 Schlösser mit 2 Schlüssel</li><li>Gleichschließend</li></ul><br><strong>Lieferumfang:</strong><ul><li>Schließzylinder-Satz 6-fach</li><li>Anbauanleitung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9013;TraX® EVO / TRAX ADV Schließzylinder-Satz;ALK.00.165.16402;TraX® EVO / TRAX ADV Schließzylinder-Satz;ALK.00.165.16402;4 Schlösser/2 Schlüssel/Klemmblech. Gleichschließ.;<strong>TraX®</strong> - die Marke von SW-MOTECH - Schließzylinder-Satz für TraX® Alu Motorradkoffer<ul><li>4 Schlösser mit 2 Schlüssel</li><li>Gleichschließend</li></ul><br><strong>Lieferumfang:</strong><ul><li>Schließzylinder-Satz 4-fach</li><li>Anbauanleitung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9014;TraX® EVO / TRAX ADV Schließzylinder-Satz;ALK.00.165.16502;TraX® EVO / TRAX ADV Schließzylinder-Satz;ALK.00.165.16502;2 Schlösser/2 Schlüssel/Klemmblech. Gleichschließ.;<strong>TraX®</strong> - die Marke von SW-MOTECH -Schließzylinder-Satz für TraX® Alu Motorradkoffer<ul><li>2 Schlösser mit 2 Schlüssel</li><li>Gleichschließend</li></ul><br><strong>Lieferumfang:</strong><ul><li>Schließzylinder-Satz 2-fach</li><li>Anbauanleitung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9015;Sozius-Rückenlehne TraX® Topcase.;ALK.00.165.30000/B;Sozius-Rückenlehne TraX® Topcase.;ALK.00.165.30000/B;Schwarz.;<strong>Sozius-Rückenlehne TraX® Topcase</strong><ul><li>Rückenlehne aus EPS Hartschaum</li><li>Verschafft bequemere Sitzposition für den Beifahrer </li><li>Passgenau für TraX® und TraX® EVO Topcase zugeschnitten (nicht für TRAX ADV)</li><li>Farbe: Schwarz</li></ul><br><strong>Lieferumfang:</strong><ul><li>1 Rückenlehne </li><li>Montagematerial</li><li>Anbauanleitung </li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9016;TraX® ALU-BOX Konturmarkierung;ALK.00.165.30100/B;TraX® ALU-BOX Konturmarkierung;ALK.00.165.30100/B;Schwarz. Für 2 Seitenkoffer oder 1 Topcase.;<strong>Konturmarkierung für TraX® ALU-BOX Schwarz</strong><br>Diese reflektierende Konturmarkierung ist geeignet für 2 TraX® Seitenkoffer<br> oder 1 TraX® Topcase. Exakt auf die Kontur der ALU-BOXEN zugeschnitten wird <br> die selbstklebende Folie einfach nach mitgelieferter Anleitung auf die ALU-BOXEN geklebt.<br> Bietet zusätzliche Sicherheit bei Dunkelheit und ist gemäß ECE 104 für den Straßenverkehr zugelassen.<br><strong>Details:</strong><ul><li>3M Folie schwarz, gemäß ECE 104, Rückstrahlklasse E</li></ul></ul><br><strong>Lieferumfang:</strong><ul><li>Konturmarkierungsstreifen für <br> 2 TraX® Seitenkoffer oder 1 TraX® Topcase</li><li>Anleitung zum vorschriftsmäßigen Anbringen der Folie</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9017;TraX® ALU-BOX Konturmarkierung;ALK.00.165.30100/S;TraX® ALU-BOX Konturmarkierung;ALK.00.165.30100/S;Silber. 2 Seitenkoffer oder 1 TopCase.;<strong>Konturmarkierung für TraX® ALU-BOX Silber</strong><br>Diese reflektierende Konturmarkierung ist geeignet für 2 TraX® Seitenkoffer<br> oder 1 TraX® Topcase. Exakt auf die Kontur der ALU-BOXEN zugeschnitten wird <br> die selbstklebende Folie einfach nach mitgelieferter Anleitung auf die ALU-BOXEN geklebt.<br> Bietet zusätzliche Sicherheit bei Dunkelheit und ist gemäß ECE 104 für den Straßenverkehr zugelassen.<br><strong>Details:</strong><ul><li>3M Folie weiß, gemäß ECE 104, Rückstrahlklasse E</li></ul></ul><br><strong>Lieferumfang:</strong><ul><li>Konturmarkierungsstreifen für <br> 2 TraX® Seitenkoffer oder 1 TraX® Topcase</li><li>Anleitung zum vorschriftsmäßigen Anbringen der Folie</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9018;TraX® Deckelbegrenzungsseil;ALK.00.165.30300/B;TraX® Deckelbegrenzungsseil;ALK.00.165.30300/B;Silber. Edelstahl. 150 mm.;<strong>TraX® Deckelbegrenzungsseil</strong><ul><li>Set bestehend aus 2 Deckelbegrenzungsseilen</li><li>Bietet zusätzliche Stabilität bei Verwendung von Zusatzgepäck auf dem Deckel</li><li>Einfache Montage</li></ul><br><strong>Lieferumfang:</strong><ul><li>2 Deckelbegrenzungsseile</li><li>Anbauanleitung</li></ul><br><strong>Besonderheiten:</strong><ul><li>Nur passend für die Generation <strong>TraX® EVO</li></strong>.</ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9019;TraX® Tisch;ALK.00.165.30500/S;TraX® Tisch;ALK.00.165.30500/S;Silber. Aluminium. 2 Tischflächen. Für TraX® L/M.;<strong>TraX® Tisch</strong><ul><li> Schafft neue Abstellmöglichkeiten</li><li> Sicher und platzsparend im TraX® L/M Koffer verstaut </li><li> Schnelle und einfache Montage </li><li>Farbe: Silber</li></ul><br><strong>Lieferumfang:</strong><ul><li>2 Tischflächen </li><li>Montagematerial</li><li>Anbauanleitung </li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9020;TraX® Tischbeine;ALK.00.165.30600/S;TraX® Tischbeine;ALK.00.165.30600/S;Silber. Aluminium. 2 Beine. Für TraX® Tisch.;<strong>TraX® Tischbeine</strong><ul><li> Benutzen des Tisches mit nur einem Koffer möglich </li><li> Sicher und platzsparend verstaut </li><li> Einfache und schnelle Montage </li><li> Füße höhenverstellbar </li><li>Farbe: Silber</li></ul><br><strong>Lieferumfang:</strong><ul><li>2 höhenverstellbare Füße</li><li>Montagematerial</li><li>Anbauanleitung </li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9021;ALU-BOX Flaschen-Kit;ALK.00.165.30700/S;ALU-BOX Flaschen-Kit;ALK.00.165.30700/S;0,6 l. Edelstahlflasche. Silber. Halterung.;<strong>TraX® Flaschen-Kit</strong><ul><li>An einer leicht erreichbaren Position montierbar</li><li>Sicher verstaut</li><li> Schnelle und einfache Montage </li></ul><br><strong>Lieferumfang:</strong><ul><li>1 Halteplatte</li><li> Edelstahlflasche 0,6 l</li><li>2 Zurrgurte</li><li>Montagematerial</li><li>Anbauanleitung </li></ul><br><strong>ACHTUNG!</strong><br><ul><li>Bitte beachten Sie, dass der Universalhalter ALK.00.165.30900/S mitbestellt werden muss.</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
